"","NAME","CONTRACT_START","CONTRACT_END","AVG_SALARY","AGE","GP","WR","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","MARGIN","sum"
"46","Rudy Gay",2017,2018,9246600,30,30,0.366666666666667,33.7666666666667,18.7333333333333,6.7,14.7333333333333,45.5,1.4,3.76666666666667,37.2,3.93333333333333,4.6,85.5,1.16666666666667,5.16666666666667,6.33333333333333,2.76666666666667,2.46666666666667,1.46666666666667,0.866666666666667,2.63333333333333,2.2,NA
"47","Kent Bazemore",2016,2019,17500000,26,75,0.586666666666667,27.7733333333333,11.6266666666667,4.26666666666667,9.66666666666667,44.1,1.45333333333333,4.06666666666667,35.7,1.64,2.01333333333333,81.5,0.373333333333333,4.68,5.05333333333333,2.28,1.84,1.30666666666667,0.506666666666667,2.34666666666667,1.01333333333333,NA
"49","Paul Millsap",2017,2019,30116666.67,32,69,0.579710144927536,33.9565217391304,18.0579710144928,6.23188405797101,14.0869565217391,44.2,1.08695652173913,3.49275362318841,31.1,4.50724637681159,5.8695652173913,76.8,1.60869565217391,6.11594202898551,7.72463768115942,3.65217391304348,2.28985507246377,1.30434782608696,0.898550724637681,2.69565217391304,1.95652173913043,NA
"50","Rodney Hood",2019,2020,5718000,26,72,0.402777777777778,26.2916666666667,11.1805555555556,4.05555555555556,9.31944444444444,43.5,1.16666666666667,3.27777777777778,35.6,1.90277777777778,2.15277777777778,88.4,0.347222222222222,1.83333333333333,2.18055555555556,1.75,0.763888888888889,0.819444444444444,0.166666666666667,2.02777777777778,-3.79166666666667,NA
"51","LaMarcus Aldridge",2015,2018,21018007.5,29,71,0.676056338028169,35.3802816901408,23.3943661971831,9.28169014084507,19.9295774647887,46.6,0.52112676056338,1.47887323943662,35.2,4.30985915492958,5.09859154929577,84.5,2.49295774647887,7.73239436619718,10.2253521126761,1.74647887323944,1.71830985915493,0.676056338028169,0.957746478873239,1.76056338028169,4.76056338028169,NA
"52","Al Horford",2016,2019,27800803.75,30,82,0.585365853658537,32.0853658536585,15.2317073170732,6.45121951219512,12.780487804878,50.5,1.07317073170732,3.1219512195122,34.4,1.25609756097561,1.57317073170732,79.8,1.80487804878049,5.46341463414634,7.26829268292683,3.20731707317073,1.30487804878049,0.829268292682927,1.47560975609756,1.98780487804878,2.81707317073171,NA
"53","Marc Gasol",2015,2019,22642350,30,81,0.679012345679012,33.1728395061728,17.4444444444444,6.54320987654321,13.2345679012346,49.4,0.037037037037037,0.209876543209877,17.6,4.32098765432099,5.4320987654321,79.5,1.41975308641975,6.35802469135802,7.77777777777778,3.79012345679012,2.17283950617284,0.864197530864197,1.61728395061728,2.5679012345679,2.77777777777778,NA
"54","Goran Dragic",2012,2015,9320750,26,66,0.515151515151515,26.5454545454545,11.7424242424242,4.1969696969697,9.09090909090909,46.2,1.03030303030303,3.06060606060606,33.7,2.31818181818182,2.87878787878788,80.5,0.803030303030303,1.74242424242424,2.54545454545455,5.31818181818182,2.37878787878788,1.28787878787879,0.151515151515152,2.51515151515152,1.04545454545455,NA
"55","Danny Green",2015,2018,1e+07,28,81,0.679012345679012,28.5308641975309,11.679012345679,3.97530864197531,9.11111111111111,43.6,2.35802469135802,5.64197530864198,41.8,1.37037037037037,1.5679012345679,87.4,0.666666666666667,3.5679012345679,4.23456790123457,1.95061728395062,1.14814814814815,1.24691358024691,1.07407407407407,2.01234567901235,5.30864197530864,NA
"56","Gordon Hayward",2014,2017,18989152.5,24,77,0.298701298701299,36.3636363636364,16.2077922077922,5.53246753246753,13.4025974025974,41.3,1.1038961038961,3.63636363636364,30.4,4.03896103896104,4.94805194805195,81.6,0.805194805194805,4.27272727272727,5.07792207792208,5.19480519480519,2.75324675324675,1.42857142857143,0.519480519480519,2.01298701298701,-5.12987012987013,NA
"57","Austin Rivers",2016,2018,11993441.33,23,67,0.626865671641791,21.8507462686567,8.85074626865672,3.37313432835821,7.70149253731343,43.8,0.925373134328358,2.76119402985075,33.5,1.17910447761194,1.73134328358209,68.1,0.328358208955224,1.61194029850746,1.94029850746269,1.47761194029851,0.91044776119403,0.716417910447761,0.134328358208955,2.04477611940298,-2.41791044776119,NA
"58","Spencer Dinwiddie",2016,2017,1125488.5,23,12,0.416666666666667,13.25,4.83333333333333,1.58333333333333,4.5,35.2,0.0833333333333333,0.833333333333333,10,1.58333333333333,2.75,57.6,0.333333333333333,1.08333333333333,1.41666666666667,1.83333333333333,0.583333333333333,0.25,0,1.66666666666667,-4.66666666666667,NA
"59","Rajon Rondo",2019,2020,2564753,33,46,0.41304347826087,29.7608695652174,9.21739130434783,3.80434782608696,9.39130434782609,40.5,1.10869565217391,3.08695652173913,35.9,0.5,0.782608695652174,63.9,0.739130434782609,4.54347826086957,5.28260869565217,7.97826086956522,2.76086956521739,1.23913043478261,0.152173913043478,2.17391304347826,-5.32608695652174,NA
"60","Jimmy Butler",2015,2019,21048050.8,25,65,0.615384615384615,38.6615384615385,20.0153846153846,6.47692307692308,14.0307692307692,46.2,1.12307692307692,2.96923076923077,37.8,5.93846153846154,7.12307692307692,83.4,1.75384615384615,4.07692307692308,5.83076923076923,3.26153846153846,1.43076923076923,1.75384615384615,0.553846153846154,1.66153846153846,3.66153846153846,NA
"61","Mike Conley",2011,2015,8026314.2,23,81,0.567901234567901,35.4567901234568,13.6666666666667,5.22222222222222,11.7654320987654,44.4,0.987654320987654,2.67901234567901,36.9,2.23456790123457,3.04938271604938,73.3,0.395061728395062,2.65432098765432,3.04938271604938,6.51851851851852,2.17283950617284,1.77777777777778,0.222222222222222,2.24691358024691,3.66666666666667,NA
"63","George Hill",2012,2016,8e+06,26,50,0.7,25.48,9.62,3.36,7.6,44.2,1.08,2.94,36.7,1.82,2.34,77.8,0.62,2.4,3.02,2.9,1.04,0.84,0.34,1.96,1.54,NA
"64","Mike Muscala",2017,2018,5e+06,25,70,0.514285714285714,17.6714285714286,6.21428571428571,2.42857142857143,4.81428571428571,50.4,0.657142857142857,1.57142857142857,41.8,0.7,0.914285714285714,76.6,1.08571428571429,2.34285714285714,3.42857142857143,1.35714285714286,0.785714285714286,0.428571428571429,0.585714285714286,1.38571428571429,-1.08571428571429,NA
"65","Jeremy Lamb",2016,2018,7e+06,24,66,0.606060606060606,18.5909090909091,8.78787878787879,3.48484848484848,7.72727272727273,45.1,0.848484848484849,2.74242424242424,30.9,0.96969696969697,1.33333333333333,72.7,0.666666666666667,3.15151515151515,3.81818181818182,1.16666666666667,0.757575757575758,0.636363636363636,0.454545454545455,1.59090909090909,2.3030303030303,NA
"66","Spencer Dinwiddie",2016,2018,1302356.333,23,12,0.416666666666667,13.25,4.83333333333333,1.58333333333333,4.5,35.2,0.0833333333333333,0.833333333333333,10,1.58333333333333,2.75,57.6,0.333333333333333,1.08333333333333,1.41666666666667,1.83333333333333,0.583333333333333,0.25,0,1.66666666666667,-4.66666666666667,NA
"67","Devin Harris",2014,2017,4140721,31,40,0.6,20.45,7.875,2.4,6.35,37.8,0.775,2.525,30.7,2.3,2.875,80,0.2,1.925,2.125,4.45,1.475,0.7,0.05,1.8,3.9,NA
"68","Jahlil Okafor",2018,2019,1634746.5,22,28,0.25,12.6071428571429,6.28571428571429,2.75,4.92857142857143,55.8,0.0357142857142857,0.142857142857143,25,0.75,1.03571428571429,72.4,0.75,2.28571428571429,3.03571428571429,0.428571428571429,0.75,0.107142857142857,0.642857142857143,1.82142857142857,-5.82142857142857,NA
"69","Wilson Chandler",2015,2018,11625000,28,78,0.358974358974359,31.6794871794872,13.9102564102564,5.35897435897436,12.5,42.9,1.78205128205128,5.20512820512821,34.2,1.41025641025641,1.82051282051282,77.5,1.23076923076923,4.85897435897436,6.08974358974359,1.71794871794872,1.41025641025641,0.743589743589744,0.371794871794872,2.96153846153846,-2.78205128205128,NA
"70","Paul Millsap",2013,2014,9500000,28,78,0.525641025641026,30.4487179487179,14.5512820512821,5.5,11.2179487179487,49,0.166666666666667,0.5,33.3,3.38461538461538,4.56410256410256,74.2,2.26923076923077,4.83333333333333,7.1025641025641,2.57692307692308,1.76923076923077,1.30769230769231,1.02564102564103,2.97435897435897,0.0512820512820513,NA
"71","Kent Bazemore",2014,2015,2e+06,24,67,0.522388059701492,13.5970149253731,6.01492537313433,2.19402985074627,5.11940298507463,42.9,0.641791044776119,1.91044776119403,33.6,0.985074626865672,1.62686567164179,60.6,0.149253731343284,1.59701492537313,1.74626865671642,1.35820895522388,1.17910447761194,0.641791044776119,0.194029850746269,1.52238805970149,-3.74626865671642,NA
"72","Russell Westbrook",2016,2018,30168166.33,27,80,0.6875,34.3625,23.475,8.2,18.05,45.4,1.2625,4.2625,29.6,5.8125,7.1625,81.2,1.8125,6.0125,7.825,10.425,4.275,2.0375,0.25,2.5,7.925,NA
"73","Nerlens Noel",2018,2019,1820148,24,30,0.2,15.7333333333333,4.36666666666667,1.83333333333333,3.5,52.4,0,0.0333333333333333,0,0.7,0.933333333333333,75,1.6,4,5.6,0.666666666666667,0.866666666666667,1.03333333333333,0.733333333333333,1.96666666666667,-3.96666666666667,NA
"74","Kevin Love",2015,2019,23311776,26,75,0.666666666666667,33.76,16.3733333333333,5.50666666666667,12.6933333333333,43.4,1.92,5.22666666666667,36.7,3.44,4.28,80.4,1.89333333333333,7.85333333333333,9.74666666666667,2.24,1.62666666666667,0.68,0.52,1.86666666666667,5.32,NA
"75","Tobias Harris",2015,2018,1.6e+07,22,68,0.294117647058824,34.8382352941176,17.1176470588235,6.5,13.9558823529412,46.6,1.27941176470588,3.51470588235294,36.4,2.83823529411765,3.60294117647059,78.8,1.07352941176471,5.25,6.32352941176471,1.82352941176471,1.69117647058824,1.01470588235294,0.529411764705882,1.97058823529412,-4.32352941176471,NA
"76","Bismack Biyombo",2015,2016,9907000,22,64,0.40625,19.421875,4.75,1.578125,2.90625,54.3,0,0,0,1.59375,2.734375,58.3,2.484375,3.875,6.359375,0.25,0.8125,0.28125,1.546875,2.1875,-0.484375,NA
